Zone,State,Scheme,Month,Visited Accounts,Allocated Accounts,Visit %,Outstanding Amount (Cr),Principal Outstanding (Cr),EMI Amount (Cr),Resolved Accounts
Pune Zone,Delhi,CHOME,2023-03,252,616,40.91,38.36,28.92,0.58,61
East,Bihar,UKKGL,2023-02,217,613,35.4,25.01,15.68,0.31,178
MMZO Zone,Punjab,TL009,2023-07,135,425,31.76,43.66,26.66,0.53,6
Pune Zone,Rajasthan,CHOME,2023-04,366,811,45.13,83.82,60.87,1.22,226
MMZO Zone,Unknown,CCMUD,2023-03,370,534,69.29,23.2,12.62,0.25,30
Pune Zone,Delhi,UMGLP,2023-09,341,519,65.7,43.47,30.0,0.6,62
Pune Zone,West Bengal,UMGLP,2023-08,35,479,7.31,69.27,58.75,1.18,20
Hyderabad,Haryana,UKKGL,2023-01,198,417,47.48,51.26,42.18,0.84,93
East,West Bengal,TL009,2023-10,311,391,79.54,42.38,27.17,0.54,160
Pune Zone,Delhi,TL009,2023-09,414,630,65.71,74.92,51.66,1.03,272
Pune Zone,Unknown,TLU03,2023-05,471,576,81.77,90.84,85.11,1.7,313
South,Jharkhand,TLU03,2023-07,381,796,47.86,59.11,52.96,1.06,65
Central,West Bengal,UMGLP,2023-12,246,585,42.05,12.01,6.46,0.13,174
East,Delhi,UMGLP,2023-12,20,209,9.57,52.02,28.97,0.58,19
Pune Zone,Punjab,CCSUV,2023-02,193,353,54.67,8.39,8.09,0.16,108
Hyderabad,Delhi,ODGEN,2023-01,388,677,57.31,2.16,1.7,0.03,227
Central,Odisha,CCSUV,2023-02,159,358,44.41,68.87,37.83,0.76,54
North,Haryana,ODGEN,2023-02,483,875,55.2,5.53,5.19,0.1,411
Central,Bihar,TL009,2023-03,142,542,26.2,27.37,22.98,0.46,97
South,Delhi,VL001,2023-04,475,672,70.68,92.42,65.55,1.31,405
West,West Bengal,CCMUD,2023-08,278,412,67.48,56.72,29.44,0.59,140
Central,Haryana,VL001,2023-06,287,380,75.53,60.74,41.19,0.82,176
MMZO Zone,Bihar,CCGEN,2023-06,151,555,27.21,77.96,40.91,0.82,151
Central,Punjab,CCGEN,2023-06,330,401,82.29,52.02,49.38,0.99,79
East,Rajasthan,CHOME,2023-12,401,806,49.75,68.53,43.18,0.86,254
MMZO Zone,Delhi,CHOME,2023-07,414,864,47.92,22.45,12.7,0.25,27
North,Odisha,CCGEN,2023-05,462,475,97.26,38.26,34.46,0.69,373
Central,West Bengal,TLU03,2023-07,210,411,51.09,31.86,22.53,0.45,88
Pune Zone,Punjab,CCGEN,2023-01,355,494,71.86,55.93,34.38,0.69,218
East,Punjab,TLU03,2023-03,281,507,55.42,13.66,8.73,0.17,95
Hyderabad,Unknown,VL001,2023-05,374,858,43.59,43.39,41.51,0.83,1
MMZO Zone,Bihar,UMGLP,2023-08,161,354,45.48,85.41,59.17,1.18,113
Central,Delhi,CCGEN,2023-04,462,914,50.55,9.86,6.9,0.14,397
East,Delhi,TL009,2023-02,158,542,29.15,70.49,58.68,1.17,80
North,Delhi,TLU03,2023-07,28,77,36.36,38.48,31.88,0.64,6
Pune Zone,Rajasthan,UKKGL,2023-05,326,420,77.62,33.38,25.74,0.51,196
Pune Zone,Rajasthan,TLP12,2023-02,416,515,80.78,44.37,23.94,0.48,22
North,Delhi,CCGEN,2023-09,173,477,36.27,70.95,67.92,1.36,108
West,Jharkhand,VL001,2023-10,117,209,55.98,41.87,35.2,0.7,46
West,Haryana,CCGEN,2023-04,493,558,88.35,28.79,15.98,0.32,242
Hyderabad,Unknown,VL001,2023-08,161,648,24.85,74.13,45.55,0.91,64
MMZO Zone,Punjab,CCGEN,2023-02,414,868,47.7,44.77,41.43,0.83,116
Central,Bihar,CCSUV,2023-01,414,896,46.21,91.79,87.73,1.75,210
Central,West Bengal,CCSUV,2023-04,290,606,47.85,60.57,48.17,0.96,250
Hyderabad,Jharkhand,CCSUV,2023-05,57,416,13.7,62.21,51.86,1.04,19
North,Haryana,UKKGL,2023-01,138,548,25.18,89.34,89.21,1.78,15
Pune Zone,Unknown,UKKGL,2023-09,186,352,52.84,85.33,50.81,1.02,116
North,Punjab,TLP12,2023-04,493,678,72.71,41.95,28.66,0.57,441
East,Jharkhand,CCSUV,2023-11,348,832,41.83,71.46,42.97,0.86,318
Hyderabad,Punjab,VL001,2023-01,211,314,67.2,71.88,45.92,0.92,48
West,Punjab,TL009,2023-02,36,472,7.63,61.56,35.03,0.7,20
North,Delhi,ODGEN,2023-11,64,143,44.76,80.57,65.74,1.31,46
Hyderabad,Punjab,CCMUD,2023-08,264,433,60.97,45.08,35.2,0.7,256
North,West Bengal,CCSUV,2023-01,197,634,31.07,64.73,60.75,1.22,97
South,West Bengal,TL009,2023-07,140,623,22.47,73.4,50.72,1.01,33
Pune Zone,Jharkhand,LADEP,2023-11,499,855,58.36,75.22,54.88,1.1,27
South,Haryana,UKKGL,2023-04,420,699,60.09,70.67,48.0,0.96,324
Hyderabad,West Bengal,ODGEN,2023-10,337,701,48.07,26.42,23.86,0.48,122
Central,Punjab,CCGEN,2023-07,372,484,76.86,88.55,88.08,1.76,196
North,West Bengal,VL001,2023-10,69,214,32.24,80.91,55.23,1.1,18
Hyderabad,Rajasthan,LADEP,2023-10,0,308,0.0,56.43,54.95,1.1,0
West,Odisha,CCMUD,2023-10,269,306,87.91,56.79,56.5,1.13,38
South,Delhi,UMGLP,2023-01,409,838,48.81,61.72,52.72,1.05,28
Hyderabad,Bihar,LADEP,2023-05,345,553,62.39,23.16,12.53,0.25,320
South,Rajasthan,UKKGL,2023-04,43,106,40.57,75.92,43.95,0.88,26
MMZO Zone,Odisha,TL009,2023-12,463,935,49.52,70.67,49.1,0.98,235
West,Rajasthan,CCMUD,2023-11,248,378,65.61,8.28,6.79,0.14,92
Pune Zone,Rajasthan,UMGLP,2023-01,431,764,56.41,53.44,45.26,0.91,334
South,Delhi,VL001,2023-12,124,198,62.63,33.88,30.26,0.61,59
Central,Unknown,TLU03,2023-10,346,475,72.84,72.75,66.7,1.33,208
Central,West Bengal,CHOME,2023-01,279,354,78.81,82.48,49.29,0.99,161
MMZO Zone,Rajasthan,TLP12,2023-12,439,558,78.67,65.95,61.41,1.23,288
Hyderabad,Bihar,CCMUD,2023-10,264,612,43.14,33.47,31.24,0.62,138
North,Delhi,TLP12,2023-07,38,129,29.46,75.93,46.31,0.93,13
Pune Zone,Jharkhand,UKKGL,2023-08,93,582,15.98,80.68,44.13,0.88,60
MMZO Zone,West Bengal,ODGEN,2023-07,62,399,15.54,50.88,35.53,0.71,22
Central,Jharkhand,CCGEN,2023-09,39,161,24.22,83.39,45.37,0.91,10
East,Unknown,UKKGL,2023-01,386,531,72.69,67.5,52.53,1.05,173
East,Punjab,TLU03,2023-09,443,675,65.63,68.11,46.24,0.92,75
Hyderabad,Delhi,TL009,2023-02,32,508,6.3,59.85,40.06,0.8,10
South,Haryana,TLU03,2023-05,201,537,37.43,3.57,3.42,0.07,193
Central,Punjab,CHOME,2023-12,229,724,31.63,73.46,44.3,0.89,26
East,Haryana,VL001,2023-10,314,634,49.53,38.51,20.05,0.4,243
West,West Bengal,TLP12,2023-10,494,523,94.46,56.64,40.77,0.82,381
West,West Bengal,CHOME,2023-11,237,486,48.77,71.53,56.29,1.13,83
MMZO Zone,Bihar,LADEP,2023-08,316,506,62.45,26.09,17.15,0.34,41
Central,Delhi,TLP12,2023-02,75,544,13.79,26.27,15.02,0.3,32
West,Haryana,UMGLP,2023-01,395,410,96.34,2.17,1.44,0.03,181
North,Rajasthan,TLU03,2023-03,422,598,70.57,55.11,32.43,0.65,374
Hyderabad,Punjab,UKKGL,2023-02,215,515,41.75,79.5,68.45,1.37,125
MMZO Zone,Odisha,TL009,2023-11,125,517,24.18,19.82,11.75,0.24,44
Pune Zone,Haryana,ODGEN,2023-03,232,324,71.6,73.73,50.77,1.02,17
MMZO Zone,Unknown,TL009,2023-02,89,584,15.24,15.02,13.24,0.26,39
Central,Rajasthan,CHOME,2023-11,495,560,88.39,35.62,25.11,0.5,75
East,Haryana,TL009,2023-07,173,574,30.14,7.95,5.45,0.11,11
West,Rajasthan,UKKGL,2023-05,41,409,10.02,39.81,25.14,0.5,0
Hyderabad,Odisha,UMGLP,2023-01,8,60,13.33,37.08,30.49,0.61,1
West,West Bengal,TLU03,2023-10,288,363,79.34,69.83,60.61,1.21,113
Pune Zone,Bihar,CCSUV,2023-02,292,669,43.65,69.45,63.35,1.27,250
West,West Bengal,CCMUD,2023-02,94,288,32.64,43.63,31.48,0.63,56
Hyderabad,Bihar,ODGEN,2023-04,104,600,17.33,67.25,38.1,0.76,57
Pune Zone,Punjab,TLU03,2023-12,27,154,17.53,4.44,2.73,0.05,9
West,Delhi,UKKGL,2023-12,36,472,7.63,4.14,3.9,0.08,11
South,Unknown,TLU03,2023-08,201,611,32.9,14.79,12.86,0.26,191
MMZO Zone,Jharkhand,UKKGL,2023-02,36,441,8.16,72.71,72.52,1.45,24
MMZO Zone,Unknown,CCMUD,2023-09,354,789,44.87,70.43,53.4,1.07,189
East,West Bengal,LADEP,2023-08,469,917,51.15,28.88,27.46,0.55,269
Hyderabad,Bihar,TL009,2023-01,414,440,94.09,57.44,55.97,1.12,310
East,Odisha,TLU03,2023-03,286,654,43.73,47.67,39.04,0.78,2
West,Bihar,LADEP,2023-05,294,402,73.13,68.33,49.87,1.0,76
Central,Odisha,VL001,2023-12,299,688,43.46,23.67,20.87,0.42,98
West,Unknown,ODGEN,2023-09,221,461,47.94,98.56,98.4,1.97,156
East,Punjab,TLP12,2023-01,258,725,35.59,92.4,58.68,1.17,171
Central,West Bengal,TLP12,2023-10,487,498,97.79,44.87,38.77,0.78,141
MMZO Zone,West Bengal,TLU03,2023-08,403,533,75.61,73.76,45.05,0.9,347
North,Jharkhand,TLP12,2023-04,167,311,53.7,29.97,26.92,0.54,160
Hyderabad,Odisha,TL009,2023-11,184,258,71.32,65.62,35.11,0.7,134
East,Odisha,VL001,2023-06,151,521,28.98,31.18,29.41,0.59,95
North,Jharkhand,CCGEN,2023-07,18,352,5.11,84.8,51.06,1.02,5
MMZO Zone,Odisha,TLU03,2023-09,44,400,11.0,76.55,45.98,0.92,40
South,West Bengal,VL001,2023-06,404,453,89.18,15.19,11.19,0.22,344
West,Rajasthan,UKKGL,2023-06,346,784,44.13,16.54,15.1,0.3,174
South,Unknown,ODGEN,2023-04,423,920,45.98,96.42,77.32,1.55,47
MMZO Zone,Punjab,CHOME,2023-05,72,344,20.93,48.96,28.83,0.58,2
MMZO Zone,Jharkhand,UMGLP,2023-11,426,849,50.18,25.13,17.8,0.36,270
East,Bihar,CCGEN,2023-10,263,269,97.77,3.7,3.06,0.06,26
MMZO Zone,Punjab,CHOME,2023-12,492,629,78.22,7.96,7.09,0.14,122
North,West Bengal,CCMUD,2023-08,131,502,26.1,54.74,33.35,0.67,18
South,West Bengal,CHOME,2023-09,122,293,41.64,27.56,14.04,0.28,34
Pune Zone,Delhi,TLP12,2023-02,311,593,52.45,26.19,13.25,0.27,168
Central,West Bengal,CCMUD,2023-06,173,379,45.65,50.46,29.53,0.59,131
South,Punjab,CCSUV,2023-09,211,515,40.97,34.46,27.39,0.55,87
Pune Zone,Rajasthan,CHOME,2023-02,75,415,18.07,27.45,24.69,0.49,60
Central,Odisha,CHOME,2023-05,45,404,11.14,64.59,35.6,0.71,17
West,Punjab,CCMUD,2023-06,388,788,49.24,97.16,78.55,1.57,167
MMZO Zone,Odisha,CHOME,2023-12,320,604,52.98,2.86,2.46,0.05,247
MMZO Zone,Punjab,ODGEN,2023-04,275,289,95.16,90.84,58.55,1.17,201
West,West Bengal,TLP12,2023-10,324,824,39.32,40.48,40.44,0.81,321
Pune Zone,Punjab,CCSUV,2023-03,254,316,80.38,13.95,7.15,0.14,41
Central,Haryana,CCSUV,2023-05,20,329,6.08,64.14,51.49,1.03,11
West,West Bengal,UKKGL,2023-08,312,674,46.29,89.93,53.3,1.07,14
North,Haryana,UKKGL,2023-08,363,783,46.36,85.88,83.58,1.67,233
East,West Bengal,CCSUV,2023-01,500,506,98.81,30.24,18.36,0.37,248
South,West Bengal,UMGLP,2023-01,60,378,15.87,87.77,74.61,1.49,4
South,Unknown,TLP12,2023-12,398,462,86.15,52.84,46.59,0.93,267
MMZO Zone,Haryana,CCMUD,2023-10,105,362,29.01,20.69,19.99,0.4,48
Hyderabad,Bihar,VL001,2023-07,199,395,50.38,21.24,13.44,0.27,36
Hyderabad,Unknown,UKKGL,2023-02,2,174,1.15,78.73,65.7,1.31,2
Central,Punjab,UMGLP,2023-08,176,448,39.29,69.19,65.67,1.31,9
East,Haryana,CCMUD,2023-07,496,780,63.59,33.65,25.8,0.52,233
East,Punjab,CCSUV,2023-12,181,567,31.92,52.32,41.26,0.83,162
South,Bihar,LADEP,2023-02,212,488,43.44,51.67,29.82,0.6,145
North,Punjab,ODGEN,2023-09,45,387,11.63,21.68,19.72,0.39,5
East,Unknown,VL001,2023-02,124,327,37.92,28.63,16.53,0.33,120
Hyderabad,Punjab,CCMUD,2023-05,248,711,34.88,13.18,9.78,0.2,237
Pune Zone,Haryana,TLP12,2023-12,348,708,49.15,86.43,66.12,1.32,288
MMZO Zone,West Bengal,CCSUV,2023-04,137,637,21.51,42.97,35.63,0.71,107
North,Rajasthan,TLU03,2023-08,349,478,73.01,85.27,46.95,0.94,312
Hyderabad,Delhi,CCSUV,2023-01,246,364,67.58,52.72,36.22,0.72,28
Pune Zone,Bihar,CCGEN,2023-11,257,526,48.86,2.35,1.67,0.03,133
East,West Bengal,TLP12,2023-01,166,594,27.95,24.72,17.91,0.36,118
MMZO Zone,Haryana,CCSUV,2023-08,370,869,42.58,51.84,43.6,0.87,201
North,Punjab,UKKGL,2023-06,381,674,56.53,5.41,3.2,0.06,110
Hyderabad,Unknown,UKKGL,2023-08,339,537,63.13,14.02,7.22,0.14,201
Central,Delhi,CCMUD,2023-05,491,920,53.37,40.62,26.31,0.53,93
Hyderabad,West Bengal,CHOME,2023-10,1,42,2.38,12.55,10.46,0.21,0
West,Unknown,TLP12,2023-07,132,538,24.54,36.86,34.73,0.69,48
South,Bihar,VL001,2023-03,49,159,30.82,17.07,9.68,0.19,19
MMZO Zone,Jharkhand,CHOME,2023-09,209,318,65.72,67.52,58.61,1.17,19
West,West Bengal,CCGEN,2023-12,108,134,80.6,6.45,5.05,0.1,51
Pune Zone,Bihar,CCSUV,2023-10,109,547,19.93,1.85,1.5,0.03,106
Central,Haryana,CCGEN,2023-12,192,345,55.65,70.6,57.25,1.15,50
Pune Zone,Rajasthan,TLU03,2023-02,414,751,55.13,6.57,4.62,0.09,290
West,West Bengal,TLU03,2023-10,0,80,0.0,92.21,54.35,1.09,0
East,Jharkhand,VL001,2023-05,449,850,52.82,90.83,55.27,1.11,120
East,West Bengal,TLP12,2023-05,403,619,65.11,38.75,30.55,0.61,260
East,Punjab,TLP12,2023-01,12,326,3.68,50.23,38.67,0.77,1
Central,Delhi,CHOME,2023-07,32,479,6.68,42.56,22.34,0.45,0
South,Punjab,CCSUV,2023-02,184,545,33.76,6.21,3.83,0.08,114
North,Odisha,CHOME,2023-08,74,259,28.57,31.47,24.64,0.49,20
North,Odisha,CCMUD,2023-06,205,395,51.9,31.7,30.2,0.6,166
Hyderabad,Rajasthan,TLP12,2023-01,265,650,40.77,40.49,31.73,0.63,194
South,Jharkhand,CCMUD,2023-05,187,309,60.52,61.33,45.36,0.91,71
Hyderabad,Bihar,VL001,2023-12,305,459,66.45,66.93,60.79,1.22,61
West,Odisha,CHOME,2023-05,400,687,58.22,29.3,18.85,0.38,212
West,Rajasthan,CCMUD,2023-01,18,117,15.38,68.2,56.18,1.12,12
MMZO Zone,Jharkhand,TL009,2023-09,140,538,26.02,35.48,33.96,0.68,115
South,Delhi,UKKGL,2023-12,94,572,16.43,12.86,10.77,0.22,47
Pune Zone,Odisha,CCGEN,2023-03,140,428,32.71,23.51,21.74,0.43,29
Central,Rajasthan,TLU03,2023-06,417,739,56.43,79.27,60.56,1.21,145
Pune Zone,Jharkhand,VL001,2023-04,134,323,41.49,39.37,36.26,0.73,26
Pune Zone,West Bengal,TL009,2023-05,159,454,35.02,99.68,80.51,1.61,132
Hyderabad,Delhi,TL009,2023-04,12,418,2.87,49.65,31.3,0.63,10
MMZO Zone,Punjab,TL009,2023-07,106,332,31.93,71.13,41.43,0.83,41
Pune Zone,Jharkhand,TLP12,2023-02,293,547,53.56,79.27,74.86,1.5,79
South,Rajasthan,ODGEN,2023-09,237,547,43.33,59.51,54.77,1.1,215
East,Delhi,CCGEN,2023-09,208,622,33.44,44.49,35.54,0.71,178
Pune Zone,Rajasthan,CCGEN,2023-11,407,425,95.76,87.6,69.57,1.39,400
South,Haryana,CHOME,2023-07,13,279,4.66,80.14,52.84,1.06,1
East,Punjab,UMGLP,2023-09,308,348,88.51,5.23,3.35,0.07,257
West,Odisha,TLU03,2023-10,361,469,76.97,29.58,25.47,0.51,180
South,Rajasthan,CCMUD,2023-12,495,899,55.06,70.32,52.99,1.06,237
Central,Odisha,LADEP,2023-10,109,167,65.27,49.9,35.79,0.72,83
Central,Punjab,CCMUD,2023-05,398,790,50.38,90.78,75.75,1.52,219
South,Bihar,CCSUV,2023-05,18,284,6.34,60.43,57.24,1.14,11
North,Delhi,LADEP,2023-07,233,653,35.68,69.58,36.05,0.72,208
Central,Bihar,LADEP,2023-11,32,352,9.09,66.16,38.4,0.77,4
Hyderabad,Rajasthan,CCSUV,2023-01,495,696,71.12,90.77,65.95,1.32,356
South,West Bengal,ODGEN,2023-12,195,426,45.77,62.03,45.56,0.91,57
North,Haryana,TLP12,2023-06,66,447,14.77,66.55,56.17,1.12,59
Pune Zone,Delhi,CCSUV,2023-03,359,735,48.84,14.53,8.67,0.17,34
Pune Zone,Delhi,CHOME,2023-03,447,771,57.98,40.4,23.79,0.48,173
Hyderabad,Haryana,TL009,2023-12,10,277,3.61,23.44,20.24,0.4,4
South,Rajasthan,CCGEN,2023-12,136,361,37.67,39.74,30.53,0.61,56
MMZO Zone,Rajasthan,TL009,2023-11,284,294,96.6,74.45,44.79,0.9,211
North,Bihar,UKKGL,2023-04,278,581,47.85,23.57,19.11,0.38,181
East,Bihar,CCMUD,2023-06,413,727,56.81,23.74,18.07,0.36,44
Hyderabad,Delhi,CHOME,2023-06,424,705,60.14,25.89,14.6,0.29,92
Pune Zone,Delhi,LADEP,2023-08,165,252,65.48,83.25,62.52,1.25,40
North,Odisha,CCGEN,2023-03,193,228,84.65,13.5,7.32,0.15,33
Hyderabad,Haryana,VL001,2023-10,84,270,31.11,7.7,5.71,0.11,64
Central,Bihar,CCSUV,2023-06,318,621,51.21,14.32,13.55,0.27,180
North,Jharkhand,CCMUD,2023-09,33,259,12.74,85.58,54.87,1.1,15
Hyderabad,Jharkhand,UKKGL,2023-11,500,626,79.87,83.1,79.3,1.59,128
East,Odisha,ODGEN,2023-12,339,641,52.89,74.84,45.88,0.92,238
MMZO Zone,Punjab,TL009,2023-07,430,793,54.22,26.53,19.26,0.39,394
Pune Zone,Haryana,VL001,2023-05,80,476,16.81,81.33,41.4,0.83,35
East,Jharkhand,TLU03,2023-05,42,443,9.48,31.38,17.26,0.35,29
Central,Rajasthan,CCMUD,2023-09,154,530,29.06,23.93,13.3,0.27,96
West,Bihar,CCGEN,2023-07,60,529,11.34,33.9,25.07,0.5,4
MMZO Zone,Delhi,VL001,2023-05,187,442,42.31,15.28,10.3,0.21,15
South,Haryana,CCGEN,2023-01,336,525,64.0,11.59,9.28,0.19,336
North,Punjab,TLP12,2023-10,370,674,54.9,99.88,54.94,1.1,113
Pune Zone,Haryana,TLU03,2023-09,129,358,36.03,35.58,22.88,0.46,46
South,Jharkhand,UKKGL,2023-05,336,429,78.32,49.61,46.77,0.94,137
South,Rajasthan,CCMUD,2023-08,309,682,45.31,77.2,60.91,1.22,245
Hyderabad,Bihar,CCGEN,2023-12,386,881,43.81,3.41,3.01,0.06,219
East,Bihar,CHOME,2023-10,5,471,1.06,23.71,22.89,0.46,1
South,Punjab,CHOME,2023-07,195,206,94.66,19.77,17.56,0.35,108
Pune Zone,Unknown,UMGLP,2023-10,79,92,85.87,8.46,4.75,0.1,55
Central,Jharkhand,VL001,2023-02,316,379,83.38,31.67,16.04,0.32,113
Hyderabad,Bihar,TLP12,2023-10,409,472,86.65,25.65,21.55,0.43,237
Hyderabad,Jharkhand,CCSUV,2023-07,354,408,86.76,49.36,25.33,0.51,139
West,Rajasthan,CCSUV,2023-06,379,806,47.02,61.0,43.34,0.87,179
Hyderabad,Punjab,UMGLP,2023-05,442,667,66.27,39.76,38.66,0.77,156
Pune Zone,Haryana,CCMUD,2023-06,263,642,40.97,23.33,11.69,0.23,169
Pune Zone,Odisha,VL001,2023-04,269,459,58.61,6.47,4.66,0.09,108
East,Unknown,CCGEN,2023-02,156,295,52.88,87.28,47.99,0.96,153
MMZO Zone,Haryana,CHOME,2023-10,203,612,33.17,39.96,30.04,0.6,37
Central,Unknown,VL001,2023-04,236,455,51.87,81.72,60.7,1.21,225
Central,West Bengal,CHOME,2023-01,327,514,63.62,66.81,36.45,0.73,96
South,Delhi,ODGEN,2023-03,462,879,52.56,46.13,29.88,0.6,73
South,Odisha,CHOME,2023-12,383,840,45.6,67.12,40.29,0.81,64
Pune Zone,Delhi,ODGEN,2023-02,328,581,56.45,98.27,82.05,1.64,70
Central,Delhi,TLU03,2023-06,391,506,77.27,87.08,74.87,1.5,231
Pune Zone,Odisha,TLU03,2023-03,452,608,74.34,60.03,53.29,1.07,346
East,Jharkhand,UMGLP,2023-12,370,835,44.31,33.63,25.54,0.51,261
North,Haryana,TLU03,2023-01,439,923,47.56,17.5,9.25,0.18,217
South,Odisha,TLP12,2023-03,216,471,45.86,18.39,15.14,0.3,46
North,West Bengal,CCGEN,2023-07,409,517,79.11,24.14,14.99,0.3,96
Hyderabad,Bihar,TLU03,2023-07,261,443,58.92,78.88,47.49,0.95,10
North,Delhi,VL001,2023-02,362,711,50.91,94.61,47.64,0.95,252
Hyderabad,Rajasthan,CCMUD,2023-09,362,817,44.31,15.16,10.88,0.22,236
MMZO Zone,Haryana,UMGLP,2023-09,112,545,20.55,81.97,47.93,0.96,65
Hyderabad,Delhi,ODGEN,2023-05,278,283,98.23,98.09,51.82,1.04,19
South,Unknown,CCMUD,2023-02,76,452,16.81,68.7,45.45,0.91,20
North,Haryana,ODGEN,2023-09,351,564,62.23,72.99,50.74,1.01,235
North,Delhi,ODGEN,2023-12,219,582,37.63,10.09,5.71,0.11,39
West,Unknown,CCGEN,2023-11,161,221,72.85,99.99,91.44,1.83,104
Hyderabad,Odisha,CCGEN,2023-12,8,459,1.74,62.61,37.55,0.75,4
Hyderabad,Rajasthan,CHOME,2023-10,478,687,69.58,44.13,34.67,0.69,147
Pune Zone,Punjab,CHOME,2023-01,15,307,4.89,9.1,8.45,0.17,14
South,Punjab,CCSUV,2023-03,365,662,55.14,33.04,29.29,0.59,310
East,Punjab,CCGEN,2023-03,110,581,18.93,77.32,45.54,0.91,70
South,Haryana,CCGEN,2023-09,343,534,64.23,68.62,41.63,0.83,328
Pune Zone,Rajasthan,TL009,2023-10,310,617,50.24,64.34,38.15,0.76,290
Central,Delhi,TLU03,2023-07,177,428,41.36,18.86,13.49,0.27,116
East,Bihar,TL009,2023-10,392,537,73.0,91.52,89.94,1.8,91
South,Haryana,CCGEN,2023-08,330,729,45.27,73.87,41.91,0.84,117
East,Jharkhand,VL001,2023-02,481,664,72.44,14.04,11.63,0.23,88
MMZO Zone,West Bengal,UMGLP,2023-05,180,301,59.8,38.12,28.26,0.57,24
Hyderabad,Haryana,ODGEN,2023-03,311,360,86.39,99.93,96.52,1.93,186
Hyderabad,Rajasthan,VL001,2023-12,147,168,87.5,73.23,44.39,0.89,46
East,Jharkhand,VL001,2023-04,241,460,52.39,27.17,26.01,0.52,200
Hyderabad,Odisha,TL009,2023-06,79,534,14.79,2.8,2.47,0.05,29
West,Haryana,VL001,2023-12,151,307,49.19,19.81,12.94,0.26,24
Pune Zone,Jharkhand,UMGLP,2023-07,447,585,76.41,75.52,73.58,1.47,230
Pune Zone,Punjab,LADEP,2023-01,451,922,48.92,90.84,85.84,1.72,155
South,Punjab,CCGEN,2023-07,196,512,38.28,74.74,49.58,0.99,27
East,Delhi,CCSUV,2023-08,207,540,38.33,65.13,49.38,0.99,141
East,Haryana,CCSUV,2023-02,373,573,65.1,54.15,42.49,0.85,305
South,Haryana,TLU03,2023-09,53,407,13.02,43.6,23.75,0.48,20
Hyderabad,Punjab,CCSUV,2023-02,236,566,41.7,6.76,3.73,0.07,89
Pune Zone,Haryana,LADEP,2023-05,413,597,69.18,37.4,30.67,0.61,230
South,Punjab,CCMUD,2023-09,65,483,13.46,79.71,71.93,1.44,51
Central,West Bengal,CHOME,2023-03,486,486,100.0,27.97,24.75,0.49,254
Pune Zone,Jharkhand,CCGEN,2023-10,51,530,9.62,35.67,31.15,0.62,10
Pune Zone,Unknown,UKKGL,2023-01,386,453,85.21,49.39,31.39,0.63,308
North,Delhi,CCMUD,2023-02,77,574,13.41,76.08,51.7,1.03,74
East,West Bengal,LADEP,2023-12,467,826,56.54,61.1,51.56,1.03,327
Hyderabad,Punjab,CCMUD,2023-05,478,668,71.56,8.75,7.05,0.14,35
Pune Zone,Unknown,UKKGL,2023-06,129,284,45.42,53.79,48.48,0.97,105
North,Jharkhand,CCMUD,2023-06,21,420,5.0,97.65,71.47,1.43,14
West,Jharkhand,CCSUV,2023-12,316,765,41.31,10.11,9.36,0.19,44
North,Bihar,VL001,2023-11,93,324,28.7,99.24,73.88,1.48,4
South,West Bengal,TL009,2023-12,347,524,66.22,62.77,32.4,0.65,276
MMZO Zone,Haryana,CCSUV,2023-04,266,766,34.73,72.91,39.93,0.8,101
MMZO Zone,Odisha,LADEP,2023-06,451,664,67.92,65.3,63.48,1.27,163
North,West Bengal,VL001,2023-08,488,572,85.31,67.96,66.88,1.34,137
Pune Zone,Haryana,TLP12,2023-04,441,787,56.04,74.56,40.19,0.8,258
West,West Bengal,CCSUV,2023-09,166,375,44.27,76.77,40.64,0.81,106
East,Jharkhand,ODGEN,2023-11,244,428,57.01,76.31,54.94,1.1,6
South,Bihar,UKKGL,2023-09,142,442,32.13,11.41,8.89,0.18,67
Pune Zone,Unknown,CCGEN,2023-05,469,591,79.36,76.29,56.16,1.12,420
West,Punjab,CHOME,2023-12,283,363,77.96,93.63,74.3,1.49,40
Central,West Bengal,UKKGL,2023-05,22,73,30.14,12.75,10.45,0.21,12
West,Rajasthan,TLP12,2023-03,16,333,4.8,7.33,5.17,0.1,3
East,Bihar,CCGEN,2023-11,214,456,46.93,25.64,13.23,0.26,64
South,Punjab,CHOME,2023-01,30,406,7.39,26.87,18.14,0.36,25
West,Odisha,UKKGL,2023-06,205,603,34.0,84.94,48.53,0.97,32
Pune Zone,Bihar,CCMUD,2023-06,91,135,67.41,49.36,47.73,0.95,42
Central,Jharkhand,UMGLP,2023-05,58,307,18.89,64.15,62.98,1.26,34
South,Unknown,VL001,2023-05,27,506,5.34,68.98,56.08,1.12,4
Central,Punjab,UKKGL,2023-12,81,307,26.38,61.5,48.29,0.97,29
Central,Odisha,LADEP,2023-05,10,108,9.26,60.29,50.14,1.0,9
East,Odisha,LADEP,2023-07,388,525,73.9,35.33,26.24,0.52,239
MMZO Zone,Delhi,UMGLP,2023-06,258,613,42.09,24.94,17.8,0.36,99
Central,Haryana,CCGEN,2023-04,353,542,65.13,57.87,32.45,0.65,308
Pune Zone,Bihar,TLU03,2023-12,177,240,73.75,18.89,16.84,0.34,120
Hyderabad,Jharkhand,UKKGL,2023-08,30,230,13.04,24.48,23.11,0.46,2
